Week,Phase,Phase Name,Movement Theme,Audience,Weekly Theme,Session Title,The Territory,Opening Question,Spiral Thread,Spiral Depth,Revisits Weeks,Week Type,S1 Welcome Wall Note,S2 Voices Callback Intro,S3 Ancient Wisdom (full text),"S3 Ancient Wisdom VO Script (10s, <=28 words)",S3 Video URL,S3 Captions URL,S4 In Today's World (full text),"S4 In Today's World VO Script (10s, <=28 words)",S4 Video URL,S4 Captions URL,S5 Today's Theme (write from transcript),S5 Source: Opening Hook (legacy),S5 Source: Core Concept (legacy),S6 Video URL,S6 Video Title/Description,S6 Video Transcript,S6 Reflective Question 1,S6 Reflective Question 2,S7 Private Write Prompt (90 sec),S7 Experiential Exercise,S8 Reflection Prompt,S9 Intention Prompt,S9 Practice (Mon),S9 Practice (Wed),S9 Practice (Sun),S10 Closing Quote,S10 Quote Attribution,S10 Core Affirmation,S11 Facilitator Prep Notes,S11 Watch For,S11 First Time Note,S11 Heavy Week Flag,S11 Post-Session Evaluation
1,1,See Clearly,See Clearly,Adult,The Signal and the Noise,What Are You Actually Receiving?,The difference between the mental noise and the awareness underneath it,What have you been carrying silently that no one else can see?,Signal and attention,1 of 4,"34, 50, 51",Movement opener,,,"Ancient navigators had no GPS. They used stars — fixed, reliable points present even when clouds obscured them. The practice wasn't finding new stars. It was learning to look past the clouds. Your inner wisdom is the star. This community is the practice of clearing the sky.","Ancient navigators had no GPS. They used stars — fixed, reliable points present even when clouds obscured them. The practice wasn't finding new stars.",,,"Your mind is a phone with 47 tabs open and notifications firing — the signal is the one tab you opened on purpose. Today: close the tabs (one breath, one thing) and hear the quiet channel underneath the noise.",Your mind is a phone with 47 tabs open and notifications firing — the signal is the one tab you opened on purpose.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Most of us live on autopilot — reacting to noise instead of tuning into what actually matters. The first step in personal growth is learning to tell the difference between your signal (inner wisdom, real values, genuine responses) and the noise (external pressure, inherited stories, fear-based reactions).","Ask the room: On a scale of 1–10, how much of your day do you actually choose — versus simply react? Take 30 seconds. No thinking. Just a number. Then: what's driving the reactions?","Most of us live on autopilot — reacting to noise instead of tuning into what actually matters. The first step in personal growth is learning to tell the difference between your signal (inner wisdom, real values, genuine responses) and the noise (external pressure, inherited stories, fear-based reactions).",https://www.youtube.com/watch?v=kJ_Gg5DPCQU,"Emotional Labour — the invisible mental load in relationships: naming the work, making it visible, and moving from 'helping out' to 'taking ownership'. Runtime ~20 min.",,,,What have you been carrying silently that no one else can see?,"MAKE THE INVISIBLE VISIBLE: For one week, track everything you carry — seen and unseen. Two columns: 'Visible tasks' (dishes, laundry, bills) and 'Invisible load' (remembering, planning, anticipating, following up). Be specific. Then compare your list with the person beside you. What's on your list that they'd never notice? What would happen if you stopped carrying one item silently? Share one thing from the 'invisible' column that surprised you.","What invisible load have you been carrying silently — and what would it take to name it, so it could finally be seen and shared?","Given what you noticed today, what is one thing you will do differently before next Sunday?","Catch the hum. Once today, notice the mental list running in the background and write down one invisible thing you're carrying that no one else can see.","Make one thing visible. Name one invisible responsibility out loud to the person who shares your life — not as a complaint, as information: 'I carry this. I'd like us to see it together.'",Move from helping to owning. Identify one task you've been 'helping with' that you could own — and one task you're carrying that someone else could own. Take one concrete step toward real ownership.,,,"I see the invisible load, I name it without blame, and I share it so we can carry it together.","Week 1: keep loose and welcoming. Goal is connection and curiosity, not depth. Everyone leaves knowing the signal/noise framework and feeling the room is safe. Resist the urge to go deep too fast.",,,,
2,1,See Clearly,See Clearly,Adult,The Stories We Carry,Reading the Code You Were Given,"The beliefs we repeat about ourselves, and where they came from",What do you believe about yourself that you have never once questioned?,Stories and identity,1 of 5,"5, 25, 27, 49",Standard,,,Many wisdom traditions say: 'A story you don't examine will run your life.' Not because stories are bad — but because an unconscious story is a cage you can't see. The practice is making it visible.,Many wisdom traditions say: 'A story you don't examine will run your life.' Not because stories are bad — but because an unconscious story is a cage you…,,,"The stories you tell about yourself run like an app in the background, quietly draining the battery. Today: catch one 'I'm the kind of person who…' and ask — did I write this, or did it just install itself?","The stories you tell about yourself run like an app in the background, quietly draining the battery.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

We all have a narrative running about who we are, what we deserve, and what's possible for us. Most of those narratives were written before we were old enough to question them — by family, culture, early experiences, and how people responded to us. This week we examine the stories.",Complete this sentence without overthinking: 'People like me don't...' Whatever came up — that's a story. Where did it come from?,"We all have a narrative running about who we are, what we deserve, and what's possible for us. Most of those narratives were written before we were old enough to question them — by family, culture, early experiences, and how people responded to us. This week we examine the stories.",https://www.youtube.com/watch?v=D9Ihs241zeg,TED Talk: 'The Power of Vulnerability' by Brené Brown — directly addresses how shame-based stories shape our sense of worthiness and connection. One of the most-watched TED Talks of all time. Runtime ~20 min.,,,,What do you believe about yourself that you have never once questioned?,"MY STORY AUDIT: Take 5 minutes. Write the 3–5 beliefs you hold most deeply about yourself — not what you wish you believed, but what you actually seem to operate from. Try finishing: 'I'm the kind of person who...' / 'I've always struggled with...' / 'The reason things don't work out for me is...' For each one, ask: How old was I when I first believed this? Who taught me? What was happening? Share one — the least threatening one — with your small group.",Write the oldest story you carry about yourself. Then write what you would tell someone you love who had that same story about themselves.,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Catch one moment where an old story seems to be making a decision for you.,Share the story you're examining with someone you trust. Just naming it — not fixing it.,Bring one insight from the week about a story you noticed running — however small.,,,I can see the stories I carry. Seeing them means I am no longer only inside them.,This session can surface real vulnerability. Have tissues available. Make explicit: 'You don't have to share anything you're not ready to share.' Watch for anyone who seems deeply activated — follow up individually.,,,,
3,1,See Clearly,See Clearly,Adult,The Pattern Interrupt,Finding the Gap,The space between what happens and how we respond,When did you last react in a way you didn't choose?,Choice and response,1 of 3,"19, 43",Standard,,,"Between stimulus and response there is a space. In that space lies your freedom. This isn't a modern idea — Stoics, Daoists, and Buddhist traditions all pointed at the same thing: the gap is where wisdom lives. We're just now able to see it in brain scans.",Between stimulus and response there is a space. In that space lies your freedom.,,,Between the notification buzzing and your hand grabbing the phone there's a half-second gap — that gap is a superpower. Today: find the buzz-to-grab gap in one habit and slot a single breath into it.,Between the notification buzzing and your hand grabbing the phone there's a half-second gap — that gap is a superpower.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Once we can see our patterns, the next question is: can we pause before they run? Not suppress them — pause. The space between stimulus and response is where genuine choice lives. This week is about learning to find that space.","Think of a behaviour you keep repeating that you'd genuinely like to change — not a big shameful thing, just a pattern. Something you do and then think 'why did I do that again?' What is it?","Once we can see our patterns, the next question is: can we pause before they run? Not suppress them — pause. The space between stimulus and response is where genuine choice lives. This week is about learning to find that space.",https://www.youtube.com/watch?v=ZizdB0TgAVM,TED Talk: 'You Aren't at the Mercy of Your Emotions' by Lisa Feldman Barrett — neuroscience-grounded explanation of how emotions are constructed and how we have more agency than we think. Runtime ~18 min.,,,,When did you last react in a way you didn't choose?,"TRIGGER MAPPING: For the pattern you named, trace it backwards. What is the behaviour specifically? What usually happens just before it — the trigger (a person, place, time, emotion, thought)? What does the behaviour give you short-term? What does it cost long-term? Now: what's the smallest possible pause you could introduce between trigger and behaviour? Even one breath. Even just noticing. Share your trigger (not the behaviour) with your small group.",Describe a recent moment when a familiar pattern ran. What triggered it? What were you feeling just before?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","When you notice a familiar trigger today, just name it silently: 'There it is.' You don't have to change anything yet.",Tell someone what you're learning to notice. Naming it to another person makes the awareness more real.,Bring one example of a moment you caught a trigger before (or just as) the pattern ran. What happened?,,,"I am bigger than my patterns. I can see them. I can pause. And in that pause, I choose.","Keep this practical and non-shaming. Normalise that patterns exist for good reasons. Nobody's patterns are shameful. The work is curious, not critical.",,,,
4,1,See Clearly,See Clearly,Adult,What Your Body Is Telling You,Turning the Diagnostics Back On,"Sensation as information, arriving before thought","Where in your body do you feel most at ease, and where most contracted?",The body,1 of 3,"24, 30",Standard,,,"In Daoist tradition the body is not separate from wisdom — it IS wisdom. Qigong, tai chi, and traditional Chinese medicine all rest on one idea: the body is an intelligent system and its sensations are a language. The West is only now catching up through neuroscience — gut-brain research, somatic therapy, interoception studies. The body has always been speaking. We are learning to hear it.",In Daoist tradition the body is not separate from wisdom — it IS wisdom.,,,"Your body is the check-engine light your dashboard mind keeps ignoring — tight shoulders and a clenched jaw are data, not noise. Today: do a ten-second body scan before you fire back the stressful message.","Your body is the check-engine light your dashboard mind keeps ignoring — tight shoulders and a clenched jaw are data, not noise.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

The body keeps the score — and most of us stopped listening a long time ago. Chronic stress and the cultural pressure to push through means we've learned to override our most reliable source of real-time information. This week we tune back in.",Put one hand on your chest and one hand on your belly. Take one breath. What do you notice? Most people can't answer that quickly — we're that disconnected. That disconnection is what this session is about.,The body keeps the score — and most of us stopped listening a long time ago. Chronic stress and the cultural pressure to push through means we've learned to override our most reliable source of real-time information. This week we tune back in.,https://www.youtube.com/watch?v=OidBsNLjD1Q,YouTube: Bessel van der Kolk interview on 'The Body Keeps the Score' — foundational understanding of how the body holds emotional experience. Various clip lengths available. Book: 'The Body Keeps the Score' by Bessel van der Kolk is core reading for this pillar.,,,,"Where in your body do you feel most at ease, and where most contracted?","BODY SCAN + MAPPING: Guide a slow body scan (facilitator reads aloud, 4–5 minutes): 'Start at the top of your head. Notice any tension, warmth, tingling, numbness. Move slowly down — face, jaw, throat, shoulders, chest, belly, hips, legs, feet. No fixing. Just noticing.' Then on a body outline: mark where you're holding tension, where you feel open, where you feel numb. Discuss in pairs: Are there patterns? Do certain areas always carry the same thing?",Where in your body do you feel stress first? When did you learn to override that signal rather than respond to it?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","Three times today, do a 30-second body scan. Just notice. No analysis required.",Talk to someone about one physical sensation you've been ignoring. What might it be trying to tell you?,Bring one observation from this week's body scan practice — what did you notice?,,,My body is speaking. I am learning its language.,"The body scan is often deeply unfamiliar for adults who live in their heads. Go slowly. Strong emotional responses are normal with somatic work. Have a grounding tool ready: feet on floor, slow breath, name 5 things you can see.",,,,
5,1,See Clearly,See Clearly,Adult,The Mirror — How We See Ourselves,Recalibrating the Lens,"Seeing yourself accurately, without flattery or attack","If you described yourself accurately — not aspirationally, not apologetically — what would you say?",Stories and identity,2 of 5,"2, 25, 27, 49",Standard,,,"The Zen tradition has a concept of 'beginner's mind' — approaching even the familiar with fresh eyes. The problem with self-perception is we are the worst people to observe ourselves objectively. We're too close. This is why community, honest relationships, and regular self-inquiry matter — they are mirrors a solo practice cannot provide.",The Zen tradition has a concept of 'beginner's mind' — approaching even the familiar with fresh eyes.,,,The front camera shows every flaw; a good friend's photo catches you laughing — self-awareness is choosing the friend's lens. Today: describe yourself the way someone who loves you would.,The front camera shows every flaw; a good friend's photo catches you laughing — self-awareness is choosing the friend's lens.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

We don't see ourselves clearly. We see ourselves through a filter built from years of feedback, comparison, shame, and selective memory. This week is about developing accurate self-perception — honest, compassionate, and grounded in evidence.",Write down three words you'd use to describe yourself. How long have you been using those words? Did you choose them — or were they given to you?,"We don't see ourselves clearly. We see ourselves through a filter built from years of feedback, comparison, shame, and selective memory. This week is about developing accurate self-perception — honest, compassionate, and grounded in evidence.",https://www.youtube.com/watch?v=haLsNaHmBhE,YouTube: Tasha Eurich — 'What Self-Awareness Really Is (and How to Cultivate It)' talk. Evidence-based research on why most people who think they're self-aware actually aren't — and what actually builds it. Runtime ~20 min.,,,,"If you described yourself accurately — not aspirationally, not apologetically — what would you say?","THE HONEST INVENTORY: Three columns: 1. Strengths you genuinely see in yourself (not performative modesty — what are you actually good at?). 2. Limitations you genuinely see (not self-flagellation — what do you actually find difficult?). 3. Blind spots you suspect — things others might see in you that you're not sure about. For column 3: what have multiple people independently said to you over the years, even if you dismissed it? Discuss in pairs: how did it feel to write column 1 vs column 3?",If you had to give yourself an honest character reference — the kind you'd give someone you respected and cared for — what would you write?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Notice once today when your self-perception shifts based on external feedback. What happened to your inner voice?,Ask one person you trust: 'What do you think is a genuine strength of mine that I don't fully own?' Listen without deflecting.,Bring the answer from your Wednesday conversation — and what you noticed about how it landed.,,,"I see myself with honest, compassionate eyes. I am neither the worst nor the best version I have imagined.",People may discover uncomfortable things about themselves. Reinforce: 'Self-awareness is not self-criticism. It's self-honesty in the service of growth.' The asking-someone-else exercise is powerful but should be truly voluntary.,,,,
6,1,See Clearly,See Clearly,Adult,The Comparison Loop,Getting Off the Loop,Measuring your inside against someone else's outside,"Who do you compare yourself to, and what do you imagine they have?",Enough,1 of 3,"20, 46",Standard,,,"The Daoist idea of enoughness — zúgòu — is radical in a comparison culture. Not resignation, not lack of ambition — but a genuine resting point that doesn't require external reference. 'I know what I have. I know what I am. That is my measure.' This is not what markets or social media want you to believe. But it is what the wellbeing evidence supports.",The Daoist idea of enoughness — zúgòu — is radical in a comparison culture.,,,Scrolling compares your behind-the-scenes to everyone's highlight reel — a treadmill where you sweat and never move. Today: name one 'race' you're quitting and mute the feed that runs it.,Scrolling compares your behind-the-scenes to everyone's highlight reel — a treadmill where you sweat and never move.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Comparison is one of the most subtle and pervasive sources of suffering in contemporary life. We compare upward (to those who appear more successful) and downward (to validate our position). Neither makes us genuinely happier. This week we examine the loop — and find the exit.","Complete this sentence: 'I would feel like I'd made it if...' Whatever came up — whose voice is that? Did you write that script, or did someone hand it to you?",Comparison is one of the most subtle and pervasive sources of suffering in contemporary life. We compare upward (to those who appear more successful) and downward (to validate our position). Neither makes us genuinely happier. This week we examine the loop — and find the exit.,https://www.youtube.com/watch?v=SuF_mdyVNdM,"YouTube: Johann Hari on the social drivers of anxiety — search 'Johann Hari lost connections talk.' Deeply researched, compassionate, and directly relevant. Book: 'Lost Connections' by Johann Hari is essential reading for this session.",,,,"Who do you compare yourself to, and what do you imagine they have?","THE COMPARISON AUDIT: Track comparison moments this week in three columns: 1. WHO — context, not names (colleague, friend, social media, public figure). 2. WHAT you're comparing (status, appearance, relationships, success, parenting, intelligence). 3. HOW IT FELT and what story it activated. Today: do a quick 5-minute version for the past week from memory. Discuss in pairs: what do your comparison patterns reveal about what you most care about — or most fear?",Name one area of your life where you consistently compare unfavourably. Where did that standard come from — and is it actually yours?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","Each time you catch a comparison thought, ask: 'Is this measuring me against my values — or against someone else's life?'",Tell someone about one comparison loop you're working to exit. Name the alternative measure you're choosing instead.,Bring back your comparison audit from the week — what patterns did you notice?,,,My worth is not relative. It does not go up or down based on what others are doing.,The comparison audit is a powerful ongoing tool — encourage people to continue beyond this week. Some will find comparison patterns connected to early experiences of being ranked or found lacking. This session pairs well with Week 2 content.,,,,
7,1,See Clearly,See Clearly,Adult,The Inner Critic,Naming the Judge,"The voice that narrates your failures, and where it learned to speak","If that voice were a person, would you choose to spend time with them?",The inner voice,1 of 3,"18, 32",Standard,,,"In Buddhist psychology the inner critic is understood as a form of internal resistance that arises precisely when we are close to genuine growth. The tradition's response is not combat, not suppression — but recognition. 'I see you.' The critic loses power when it is clearly named.",In Buddhist psychology the inner critic is understood as a form of internal resistance that arises precisely when we are close to genuine growth.,,,"The inner critic is a group chat in your head that only ever roasts you — you can mute it and add a coach who's honest but kind. Today: when the roast fires, ask 'would I say this to my best mate?'",The inner critic is a group chat in your head that only ever roasts you — you can mute it and add a coach who's honest but kind.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Most of us have an inner voice far harsher than anything we'd say to someone we love. The inner critic is not healthy self-reflection — it is an internalised judge, often formed in childhood, that works against our growth while appearing to support it. This week we learn to hear it clearly and choose differently.",Read this sentence as if it were your own thought: 'You're probably not as good as you think you are. Other people are doing this so much better.' How familiar is that voice? What does it actually sound like in your head?,"Most of us have an inner voice far harsher than anything we'd say to someone we love. The inner critic is not healthy self-reflection — it is an internalised judge, often formed in childhood, that works against our growth while appearing to support it. This week we learn to hear it clearly and choose differently.",https://www.youtube.com/watch?v=IvtZBUSplr4,"TED Talk: 'The Space Between Self-Esteem and Self-Compassion' by Kristin Neff — evidence-based, warm, directly addresses the inner critic and what actually replaces it. Runtime ~20 min.",,,,"If that voice were a person, would you choose to spend time with them?","MEET YOUR CRITIC: Write down the inner critic's greatest hits — the specific phrases it returns to most often. Now: imagine this voice belonged to a specific person in your life — past or present. Who does it most sound like? Next: write a response from your wisest, most compassionate self to each critic statement — not a denial, but a grounded honest alternative. Share: the most common theme your inner critic returns to (not the specific content).","If your inner critic wrote a review of your life, what would it say? Then: if your wisest friend wrote the same review, what would they say? What's the gap?","Given what you noticed today, what is one thing you will do differently before next Sunday?","Each time your inner critic fires today, name it: 'There's the critic.' Don't argue. Just see it.","Tell someone about your inner critic — what it says, where you think it came from. Naming it to another person takes some of its power away.",Bring back one moment where you caught the inner critic and chose to respond differently.,,,I hear the critic. I see where it came from. And I choose the voice of my wiser self.,This session often releases strong emotional responses — normalise it. For many it's the first time they've examined the inner critic with compassion rather than trying to fight or indulge it. Keep the tone warm and non-clinical. Refer to professionals for anyone showing signs of severe self-criticism or depression.,,,,
8,1,See Clearly,See Clearly,Adult,Beneath the Surface — Emotions as Data,Reading the Data Stream,What sits underneath the emotion you noticed first,What were you feeling just before you got angry?,Emotions as data,1 of 3,"24, 43",Standard,,,"The Daoist principle of flowing like water applies to emotional life: water doesn't fight its container. It finds every crack, every passage, every opening — and it moves. Emotions blocked are like water behind a dam. They don't disappear. They build pressure. The practice is not controlling emotions — it's letting them flow with awareness.","The Daoist principle of flowing like water applies to emotional life: water doesn't fight its container. It finds every crack, every passage, every opening — and it moves.",,,"Anger is just the app icon; tap it and the real feeling opens underneath — fear, hurt, tiredness. Today: next time you're 'grumpy', open the icon and read what's actually inside.","Anger is just the app icon; tap it and the real feeling opens underneath — fear, hurt, tiredness.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

Most of us have two modes with emotions: suppress or flood. We either push them down or get overwhelmed by them. This week we develop a third option: emotions as information. Every emotion is communicating something — about our values, our needs, our history. Learning to read that communication is a core growth skill.","Name three emotions you've felt in the past 48 hours. Now: what was each one actually telling you? If you can answer that quickly, you're already ahead of most people.","Most of us have two modes with emotions: suppress or flood. We either push them down or get overwhelmed by them. This week we develop a third option: emotions as information. Every emotion is communicating something — about our values, our needs, our history. Learning to read that communication is a core growth skill.",https://www.youtube.com/watch?v=HJSK3HpgFdM,TED Talk: 'You Aren't at the Mercy of Your Emotions' by Lisa Feldman Barrett — groundbreaking neuroscience on how emotions are constructed and how we have more agency than we think. Runtime ~18 min.,,,,What were you feeling just before you got angry?,"THE EMOTIONAL INTELLIGENCE AUDIT: Think of a difficult emotion you experienced recently — something that felt too much, wrong, or that you tried to suppress. Ask it these questions and write your answers: What exactly am I feeling (be specific — not just 'bad')? When did this feeling start? What triggered it? What is this feeling telling me about what I value, need, or fear? Is there a secondary emotion underneath this one? Share: the one question from that list you found hardest to answer.","Think of your dominant emotional response pattern: do you tend to suppress, explode, analyse, deflect, or something else? Where did you learn that response?","Given what you noticed today, what is one thing you will do differently before next Sunday?","Once today when an emotion arises, pause before responding and ask: 'What is this actually telling me?'",Share with one person an emotion you've been avoiding. Not the story around it — just: 'I've been carrying [emotion] and I think it's because [what it's pointing at].',Bring back one moment where you paused to read an emotion as information rather than reacting to or suppressing it.,,,"My emotions are data, not drama. They are always pointing at something true.","This is a technically rich session — don't rush the concepts. The key insight (emotions as information, not drama) is paradigm-shifting for most people. Ground the theory in immediate personal experience. The 'secondary emotion' concept often produces significant revelations — give space for that.",,,,
9,1,See Clearly,See Clearly,Adult,The Wounds We Carry,The Kintsugi Audit,"Old hurt, and what it costs to keep it unnamed",What is something you have never fully allowed yourself to grieve?,Old hurt,1 of 3,"21, 23",Standard,,,"In the Japanese art of kintsugi, broken pottery is repaired with gold — the cracks made visible, made beautiful. The break is not hidden. It is honoured. The philosophy beneath it: what has broken is part of the story. The repair is part of the beauty. This is the practice of this session — not hiding the cracks, but beginning to look at them.","In the Japanese art of kintsugi, broken pottery is repaired with gold — the cracks made visible, made beautiful. The break is not hidden. It is honoured.",,,"Old hurts are a heavy backpack you've worn so long you forgot it's on — naming them in a safe room is setting it down for a minute. Today: name one thing you've been carrying, just to feel the weight lift.",Old hurts are a heavy backpack you've worn so long you forgot it's on — naming them in a safe room is setting it down for a minute.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

All of us have been hurt — by people who were supposed to protect us, by experiences that exceeded our capacity to cope, by systems that didn't see us. Some of those experiences left marks that continue to shape how we move through the world. This week we look at what we carry — with honesty, courage, and enormous compassion.",Without going into detail: what's one experience from your past that you suspect is still shaping you in ways you haven't fully examined? You don't have to name it specifically — just acknowledge it's there.,"All of us have been hurt — by people who were supposed to protect us, by experiences that exceeded our capacity to cope, by systems that didn't see us. Some of those experiences left marks that continue to shape how we move through the world. This week we look at what we carry — with honesty, courage, and enormous compassion.",https://www.youtube.com/watch?v=95ovIJ3dsNk,TED Talk: 'How Childhood Trauma Affects Health Across a Lifetime' by Nadine Burke Harris — landmark ACEs research presented with compassion and hope. Runtime ~16 min.,,,,What is something you have never fully allowed yourself to grieve?,"LEGACY CODE MAPPING — quiet and private: In your journal, explore whichever prompt feels right: 'One experience I know is still with me is...' / 'A pattern I have that I suspect came from being hurt is...' / 'Something I learned about love/safety/trust from an early wound is...' / 'Something I've been carrying that doesn't fully belong to the present is...' Write as much or as little as you choose. This is for you. After 5–7 minutes: take a breath. Place your hand on your heart. Notice any shifts in your body.",If the wound you've been carrying could finally speak clearly — what would it need you to know?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Notice once today when a present situation triggers what feels like an old wound. You don't have to resolve it. Just notice: 'This feels older than now.',"If it feels right, speak the name of something you're carrying to one trusted person — not the full story, just: 'I'm carrying something and I'm starting to look at it.'",Bring one reflection from this week's journal exercise — or simply how it felt to acknowledge the question.,,,"What I carry does not define me. I see it clearly. And in seeing it, I begin the repair.",CRITICAL: Most emotionally sensitive session of Phase 1. Make crystal clear this is NOT trauma processing — it is an awareness session. Have professional referral resources printed and available. Never ask anyone to share specific trauma content publicly. Some participants may need to step out — have a quiet space and support person available. Follow duty of care protocol if any safety concerns arise.,,,YES,
10,1,See Clearly,See Clearly,Adult,The Masks We Wear,Frontend and Backend,The gap between the public self and the private one,Is there something you feel or want that you have never let yourself express?,Masks and being seen,1 of 3,"22, 42",Standard,,,"In theatre tradition the mask (persona) was originally a tool — it amplified voice and communicated character. But when the mask becomes fused to the face, the actor loses access to their own expression. The question is not whether you wear masks — everyone does. The question is: do you still know your own face?",In theatre tradition the mask (persona) was originally a tool — it amplified voice and communicated character.,,,"Your profile is the filtered photo; the real you is the whole camera roll — and the right people want the camera roll. Today: show one true, unfiltered thing to someone safe.",Your profile is the filtered photo; the real you is the whole camera roll — and the right people want the camera roll.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Most of us present different versions of ourselves in different contexts — and that's not inherently a problem. But when the mask becomes more familiar than the face underneath, we've lost something important. This week we examine the performances we give and the cost of maintaining them.",Think of the most socially managed version of yourself — the performance you give when you're trying to be received well. How different is that person from the version that exists when no one is watching?,"Most of us present different versions of ourselves in different contexts — and that's not inherently a problem. But when the mask becomes more familiar than the face underneath, we've lost something important. This week we examine the performances we give and the cost of maintaining them.",https://www.youtube.com/watch?v=iCvmsMzlF7o,"TED Talk: 'The Power of Vulnerability' by Brené Brown — the foundational research on authenticity, connection, and the cost of armoured performance. One of the most-watched TED Talks ever. Runtime ~20 min.",,,,Is there something you feel or want that you have never let yourself express?,THE MASK INVENTORY: Draw or describe three masks you wear regularly: 1. The professional/competence mask. 2. The 'everything's fine' mask. 3. The mask that hides the need for help. For each: What does it protect? What does it cost? Who in your life has seen most clearly behind it? Now: what would happen if one of those masks came down a little? What is the specific fear — and how likely is it to actually happen? Share: one mask and what it costs you.,Think of a relationship where you've maintained a significant mask. What do you think would actually happen if that person saw more of the real you? What does your answer tell you about the relationship?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","Notice once today when you put a mask on — and ask: 'Is this necessary right now, or is it fear?'",Show someone a tiny bit of what's usually behind one of your masks — something genuine and slightly vulnerable. Notice what happens.,Bring back: what happened when you experimented with a little more authenticity this week?,,,"I know my own face. The masks I wear are chosen — not required. I choose from security, not fear.",The mask metaphor is universally resonant and often produces significant insight without requiring dramatic disclosure. Watch for the person who has maintained very rigid masks — dropping them even conceptually can be destabilising. Ensure the session ends in a place of safety and agency.,,,,
