Week,Phase,Phase Name,Movement Theme,Audience,Weekly Theme,Session Title,The Territory,Opening Question,Spiral Thread,Spiral Depth,Revisits Weeks,Week Type,S1 Welcome Wall Note,S2 Voices Callback Intro,S3 Ancient Wisdom (full text),"S3 Ancient Wisdom VO Script (10s, <=28 words)",S3 Video URL,S3 Captions URL,S4 In Today's World (full text),"S4 In Today's World VO Script (10s, <=28 words)",S4 Video URL,S4 Captions URL,S5 Today's Theme (write from transcript),S5 Source: Opening Hook (legacy),S5 Source: Core Concept (legacy),S6 Video URL,S6 Video Title/Description,S6 Video Transcript,S6 Reflective Question 1,S6 Reflective Question 2,S7 Private Write Prompt (90 sec),S7 Experiential Exercise,S8 Reflection Prompt,S9 Intention Prompt,S9 Practice (Mon),S9 Practice (Wed),S9 Practice (Sun),S10 Closing Quote,S10 Quote Attribution,S10 Core Affirmation,S11 Facilitator Prep Notes,S11 Watch For,S11 First Time Note,S11 Heavy Week Flag,S11 Post-Session Evaluation
1,1,See Clearly,See Clearly,Teen,The Signal and the Noise,Who's Actually Talking?,"The noise in your head, and the quieter thing underneath it",What are you carrying that nobody around you knows about?,Signal and attention,1 of 4,"34, 50, 51",Movement opener,,,"Old navigators used stars when everything else was uncertain — not because the stars told them what to do, but because they were reliable. You have something like that too. Most people just never learn to look for it.","Old navigators used stars when everything else was uncertain — not because the stars told them what to do, but because they were reliable.",,,"Your mind is a phone with 47 tabs open and notifications firing — the signal is the one tab you opened on purpose. Today: close the tabs (one breath, one thing) and hear the quiet channel underneath the noise.",Your mind is a phone with 47 tabs open and notifications firing — the signal is the one tab you opened on purpose.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

You're surrounded by other people's opinions, social media, and expectations — so much that most of us don't know what we actually think or feel anymore. This session is about starting to notice the difference between what's genuinely yours and what you've absorbed.","Quick show of hands — no judgment: Who's ever said something or made a choice, then later thought — 'wait, that wasn't actually what I wanted'? That's the gap we're exploring today.","You're surrounded by other people's opinions, social media, and expectations — so much that most of us don't know what we actually think or feel anymore. This session is about starting to notice the difference between what's genuinely yours and what you've absorbed.",https://www.youtube.com/watch?v=Thlbqg2sKEM,"7 Hard Truths for Teens — a no-sugarcoating talk on ownership, time, habits, friendship, and the regret of wasted time. Runtime ~10 min.",,,,What are you carrying that nobody around you knows about?,"SEVEN TRUTHS, ONE SIGNAL: The video names seven hard truths. Write down as many as you remember. Next to each, mark SIGNAL (something calling you to see clearly and act) or NOISE (something you've been tuning out, dodging, or hoping isn't real). Now circle the one that stung the most. Underneath it write: 'What is this truth trying to get me to see — and what one small choice would I make today if I took it seriously?' Share the number you circled — not the full answer, unless you want to.",Which of the seven truths hit you hardest — and what is it asking you to see about your life that you've been avoiding?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Catch a waiting moment. One time today you catch yourself waiting for something to happen TO you instead of making it happen. Name it out loud.,"Run a phone audit. Check your screen time, multiply it by 365, and look at the number. Then set one boundary for today — one app deleted, or notifications off except for real people.","Take one small risk this week — something you'd regret NOT doing. Try it, fail, look silly. Then write down the story. That's the signal you lived.",,,"I stop waiting for rescue. I am the main character, and today counts.","Teens need psychological safety first. Don't push sharing. Make it clear that honesty with yourself is the point — not performance. Keep it real and slightly light in tone, but let the content be genuine.",,,,
2,1,See Clearly,See Clearly,Teen,The Stories We Carry,The Playlist You Didn't Choose,The things you've been told about yourself so often you stopped checking,What's something you've always been told you are — and is it actually true?,Stories and identity,1 of 5,"5, 25, 27, 49",Standard,,,"There's an old idea: 'The fish doesn't know it's wet.' When you've been swimming in a story your whole life, it feels like reality. The practice is climbing out of the water long enough to see it for what it is.","There's an old idea: 'The fish doesn't know it's wet.' When you've been swimming in a story your whole life, it feels like reality.",,,"The stories you tell about yourself run like an app in the background, quietly draining the battery. Today: catch one 'I'm the kind of person who…' and ask — did I write this, or did it just install itself?","The stories you tell about yourself run like an app in the background, quietly draining the battery.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

A lot of the beliefs we have about ourselves — about our abilities, our worth, what's possible for us — weren't decided by us. They were handed to us. Today we figure out which stories are actually true versus which ones we've just been repeating.","Finish this sentence silently, no sharing yet: 'I'm just not the kind of person who...' Notice how quickly that answer came. That speed? That's a story on autopilot.","A lot of the beliefs we have about ourselves — about our abilities, our worth, what's possible for us — weren't decided by us. They were handed to us. Today we figure out which stories are actually true versus which ones we've just been repeating.",https://www.youtube.com/watch?v=pN34FNbOKXc,YouTube: 'Growth Mindset vs Fixed Mindset' — animated RSA-style explanation of Carol Dweck's research on how beliefs about ability shape outcomes. Runtime ~10 min.,,,,What's something you've always been told you are — and is it actually true?,"TRACK LISTING: Write down 3 beliefs you seem to carry about yourself — about your ability, your worth, what you're allowed to want. For each one: How old do you think you were when you started believing this? Was there a moment that 'installed' it? Circle the one that feels most like it's been running your life without your permission. Share: was it easy or hard to find them?","If your best friend had the same belief about themselves that you have about yourself, what would you tell them?","Given what you noticed today, what is one thing you will do differently before next Sunday?",Notice once today when a story seems to be making a choice for you before you even think about it.,"Tell one person one story you're examining — not to explain or justify it, just to name it out loud.",Bring back one moment where you caught a story running. What happened when you noticed it?,,,I can see where my stories came from. That means I'm bigger than them.,Some teens may become emotional accessing early memories. Normalise it: 'noticing is brave.' Never ask anyone to share traumatic content publicly. Written exercise keeps it private and safe.,,,,
3,1,See Clearly,See Clearly,Teen,The Pattern Interrupt,The Chat You're Not Reading,The tiny gap between something happening and you reacting,When did you last snap at someone and wish you hadn't?,Choice and response,1 of 3,"19, 43",Standard,,,"There's an idea: the obstacle is the path — the thing that trips you up shows you exactly where you need to grow. Your patterns aren't your enemies. They're messengers. Loud, sometimes destructive messengers. But still.",There's an idea: the obstacle is the path — the thing that trips you up shows you exactly where you need to grow. Your patterns aren't your enemies.,,,Between the notification buzzing and your hand grabbing the phone there's a half-second gap — that gap is a superpower. Today: find the buzz-to-grab gap in one habit and slot a single breath into it.,Between the notification buzzing and your hand grabbing the phone there's a half-second gap — that gap is a superpower.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

You know those moments where you react to something and immediately think 'why did I do that'? That's the pattern. Today we figure out what's actually triggering your automatic reactions — and whether you can find the gap.","Raise your hand if you've ever sent a text, said something, or walked away from a situation and immediately thought 'I shouldn't have done that.' What does that feel like?",You know those moments where you react to something and immediately think 'why did I do that'? That's the pattern. Today we figure out what's actually triggering your automatic reactions — and whether you can find the gap.,https://www.youtube.com/watch?v=RcGyVTAoXEU,"YouTube: Search 'Simon Sinek How to Control Your Emotions' for a practical, accessible take on the pause between stimulus and response. Runtime ~8–12 min.",,,,When did you last snap at someone and wish you hadn't?,"MY TRIGGER INVENTORY: Think of a pattern you want to interrupt. Trace it back: what usually sets it off (person, feeling, situation, time of day)? What does the reaction give you right now in the moment? What does it cost you later? Smallest possible interrupt: when you notice the trigger, what's one word you could say to yourself before the reaction runs? Share your trigger word (not the pattern) with one other person.",What's one automatic reaction you have that you'd like to pause before it runs? What do you think it's actually protecting?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Use your trigger word once today — even if the pattern still runs. The noticing is enough for now.,Tell one person about the pattern you're working with. Not the details — just that you're working on something.,"Bring one moment from the week where you tried to interrupt a pattern — what happened, even if it didn't go perfectly?",,,I'm not my reactions. I'm the one who notices them — and that means I have a choice.,Naming amygdala hijack de-shames the reaction. Keep the trigger inventory light — don't push into trauma territory. The trigger word should be chosen privately by each teen.,,,,
4,1,See Clearly,See Clearly,Teen,What Your Body Is Telling You,Reading the Data Your Body Collects,What your body notices before your brain catches up,Where do you feel it in your body when you're nervous?,The body,1 of 3,"24, 30",Standard,,,"Ancient practices like yoga, martial arts, and dance were never just physical. They were ways of developing body intelligence — the ability to feel what the body knows before the mind catches up. Modern science confirms what these traditions knew: the gut has as many neurons as a cat's brain. Your body is thinking, even when you're not.","Ancient practices like yoga, martial arts, and dance were never just physical.",,,"Your body is the check-engine light your dashboard mind keeps ignoring — tight shoulders and a clenched jaw are data, not noise. Today: do a ten-second body scan before you fire back the stressful message.","Your body is the check-engine light your dashboard mind keeps ignoring — tight shoulders and a clenched jaw are data, not noise.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

Your body is constantly sending you signals — about safety, stress, excitement, dread. Most of us learned to ignore them or push through. This week we learn to actually read what the body is saying.",Without thinking about it: where in your body do you feel nervous? Point to it. Where do you feel excitement? How do you know when you're actually hungry vs. just bored? Most people have never been asked these questions.,"Your body is constantly sending you signals — about safety, stress, excitement, dread. Most of us learned to ignore them or push through. This week we learn to actually read what the body is saying.",https://www.youtube.com/watch?v=Ks-_Mh1QhMc,TED Talk: 'Your Body Language May Shape Who You Are' by Amy Cuddy — evidence-based exploration of how physical state influences mental and emotional state. Runtime ~21 min.,,,,Where do you feel it in your body when you're nervous?,SENSATION MAPPING: Facilitator names a scenario and teens put their hand on where they feel it in their body: 'The moment before you walk into a room full of people you don't know.' / 'Getting a really good text from someone you like.' / 'Sunday night before a hard week starts.' / 'That moment when everything just clicks.' Discuss: are these signals or just nerves? What might each one be telling you?,Think of a time your body gave you a strong signal that you ignored. What happened? What do you wish you'd listened to?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Do a 1-minute body scan at three different times today. Write one word for what you notice each time.,Tell someone one thing your body has been trying to tell you that you've been ignoring.,Bring back one observation from your body scan practice this week.,,,My body and my mind are the same team. I'm learning to let them work together.,"Keep this entirely positive and non-aesthetic — this is about intelligence and signals, NOT appearance or fitness standards. Watch for any content that might touch on body image issues.",,,,
5,1,See Clearly,See Clearly,Teen,The Mirror — How We See Ourselves,The Comparison Trap and the Real Mirror,"Seeing yourself honestly, without being harsh about it","If you had to describe yourself with no filter and no put-downs, what would you say?",Stories and identity,2 of 5,"2, 25, 27, 49",Standard,,,"There's an old story about a young warrior who keeps losing battles because he's fighting the wrong enemy — his own reflection, which he mistakes for an opponent. The battles with ourselves, the harsh self-judgments, the impossible standards — most of the time, we're fighting a distorted image, not reality.","There's an old story about a young warrior who keeps losing battles because he's fighting the wrong enemy — his own reflection, which he mistakes for an opponent.",,,The front camera shows every flaw; a good friend's photo catches you laughing — self-awareness is choosing the friend's lens. Today: describe yourself the way someone who loves you would.,The front camera shows every flaw; a good friend's photo catches you laughing — self-awareness is choosing the friend's lens.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

How we see ourselves shapes literally everything — the choices we make, the risks we take, the people we let in. Most teens have a self-image built from comparison, other people's opinions, and their worst moments. This week we build a more honest one.","Quick question — no right answer: When you scroll through social media, do you feel better or worse about yourself afterwards? And does the image you project online match who you actually are?","How we see ourselves shapes literally everything — the choices we make, the risks we take, the people we let in. Most teens have a self-image built from comparison, other people's opinions, and their worst moments. This week we build a more honest one.",https://www.youtube.com/watch?v=Lp7E973zozc,"YouTube: Jonathan Haidt on social media and teen mental health — widely available, evidence-based, highly relevant. Runtime ~15–20 min depending on version.",,,,"If you had to describe yourself with no filter and no put-downs, what would you say?","REAL MIRROR vs. COMPARE MIRROR: Two columns. Column A: 'What I actually see when I look honestly at myself' — strengths, limitations, things I'm still figuring out. Column B: 'What I think I look like compared to others' — who do you compare yourself to, in what areas, and is that comparison fair? Key question: Which mirror are you living by? And which do you actually want to use? Share: 'One thing I'm ready to stop comparing' — anonymously if preferred.",If your social media profile showed who you actually are — not who you want to be seen as — what would it include that you currently leave out?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","Do a social media audit: after 20 minutes of scrolling, check in with your body. How do you feel? Make a note.",Ask someone who knows you well: 'What do you see in me that I don't seem to see in myself?',Bring back your social media audit observation and the answer from Wednesday's question.,,,"I am building my self-image on honest ground — not comparison, not performance, not other people's opinions.","Highly relevant session for teens. Avoid moralising about social media — stay evidence-based and curious. The social media audit is practical and powerful. Goal is self-awareness, not guilt.",,,,
6,1,See Clearly,See Clearly,Teen,The Comparison Loop,The Race With the Moving Finish Line,Comparing your real life to someone else's highlights,"Who do you compare yourself to, and what do you think they've got?",Enough,1 of 3,"20, 46",Standard,,,There's an old idea: 'The candle that burns next to the sun looks dim — but light up a dark room and it's extraordinary.' Your life is not measured against the sun. It is measured against the darkness you chose to show up for.,There's an old idea: 'The candle that burns next to the sun looks dim — but light up a dark room and it's extraordinary.' Your life is not…,,,Scrolling compares your behind-the-scenes to everyone's highlight reel — a treadmill where you sweat and never move. Today: name one 'race' you're quitting and mute the feed that runs it.,Scrolling compares your behind-the-scenes to everyone's highlight reel — a treadmill where you sweat and never move.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Comparison is the background noise of teen life — and social media has turned the volume up to maximum. But here's what most people don't know: the comparison loop literally never pays off. Not once. This week we find the exit.","Be honest: in the last week, how many times did you feel worse about yourself after looking at someone else's social media? How many times better? What's the ratio?",Comparison is the background noise of teen life — and social media has turned the volume up to maximum. But here's what most people don't know: the comparison loop literally never pays off. Not once. This week we find the exit.,https://www.youtube.com/watch?v=P6FORpg0KVo,"TED Talk: 'Quit Social Media' by Cal Newport — practical, evidence-based case for intentionality over comparison culture. Runtime ~13 min. Note: not anti-technology, pro-intentionality.",,,,"Who do you compare yourself to, and what do you think they've got?",THE EXIT INTERVIEW: Imagine you are interviewing the Comparison Loop for a job. Write its job description: What does it promise to deliver? What does it actually deliver? What are its side effects? Would you rehire it? Now write the job description for what you WANT instead — what would a healthy inner metric look like? What would it measure? How would you know it was working? Share: what would you measure yourself by if social media didn't exist?,Write three things you've done or overcome in the past year that nobody necessarily saw. Things that were for you. Are they in your self-story?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","For one day, do a conscious comparison fast — notice every comparison thought and redirect to: 'How am I measuring up to my own values today?'",Tell one person about something you're proud of that you rarely talk about. Watch what happens when you claim it.,Bring back what happened on your comparison fast day — what did you notice?,,,"My story is mine. I measure it by my values, my growth, and my own honest effort.",The comparison fast is highly practical and can be genuinely transformative. Avoid shaming social media use — frame as intentionality. The 'things nobody saw' exercise is powerful for teens who feel unseen.,,,,
7,1,See Clearly,See Clearly,Teen,The Inner Critic,Introducing the Heckler,The voice in your head that talks to you worse than anyone else does,"If that voice was a person in your group chat, would you keep them in it?",The inner voice,1 of 3,"18, 32",Standard,,,In martial arts there's a principle: you don't fight your shadow. You can't. The shadow isn't an enemy — it's just the shape of the light you're blocking. The inner critic is similar. Fighting it directly makes it stronger. What works is shining more light.,In martial arts there's a principle: you don't fight your shadow. You can't. The shadow isn't an enemy — it's just the shape of the light you're blocking.,,,"The inner critic is a group chat in your head that only ever roasts you — you can mute it and add a coach who's honest but kind. Today: when the roast fires, ask 'would I say this to my best mate?'",The inner critic is a group chat in your head that only ever roasts you — you can mute it and add a coach who's honest but kind.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

That voice in your head that says 'you're not good enough,' 'everyone can see how awkward you are,' 'you'll fail' — we all have one. Today we find out where it came from, why it does what it does, and why listening to it is optional.",Honest question: would you talk to your best friend the way you talk to yourself? If someone said to your best friend what your inner voice says to you on a bad day — would you call that friendship?,"That voice in your head that says 'you're not good enough,' 'everyone can see how awkward you are,' 'you'll fail' — we all have one. Today we find out where it came from, why it does what it does, and why listening to it is optional.",https://www.youtube.com/watch?v=IvtZBUSplr4,"YouTube: Kristin Neff TED Talk on self-compassion — same resource as adults, completely accessible for teens. Alternatively search 'how to silence your inner critic animated' for shorter versions. Runtime ~10–20 min.",,,,"If that voice was a person in your group chat, would you keep them in it?","THE HECKLER vs. THE COACH: Write your inner critic's three favourite lines about you. For each one write: 'A good coach who wanted me to actually improve would say...' Notice the difference — the critic shuts down, the coach opens up. Now: what would you need to believe about yourself to replace the critic with the coach? Write that as a statement. Share: the most common thing the heckler says.","Write a text message from your inner critic. Then write the reply you'd send it as your wiser, more honest self.","Given what you noticed today, what is one thing you will do differently before next Sunday?",Notice today how often the critic fires. Don't fight it. Just count. Awareness without judgment — for now.,Tell one person something you've been hard on yourself about. Notice what it feels like to say it out loud to someone who's on your side.,Bring back: how many times did the critic fire this week? And did noticing change anything?,,,I hear the critic. It's not me. I choose the voice of someone who's actually on my side.,Teen inner critics are often ferocious and normalised — many don't realise how harsh their self-talk is until they compare it to what they'd say to a friend. The 'text message from the critic' exercise is effective and often funny enough to defuse shame.,,,,
8,1,See Clearly,See Clearly,Teen,Beneath the Surface — Emotions as Data,Optimising the Notification System,The feeling that was there before the one you noticed,What were you actually feeling right before you got angry?,Emotions as data,1 of 3,"24, 43",Standard,,,"The samurai tradition had a concept called zanshin — a state of total awareness, including of one's own emotional state. Not the absence of emotion — full awareness of it. The warrior disconnected from their own emotional state is the most dangerous — not because they feel nothing, but because they act without knowing what they're feeling. Emotional intelligence was never considered weakness. It was considered mastery.","The samurai tradition had a concept called zanshin — a state of total awareness, including of one's own emotional state.",,,"Anger is just the app icon; tap it and the real feeling opens underneath — fear, hurt, tiredness. Today: next time you're 'grumpy', open the icon and read what's actually inside.","Anger is just the app icon; tap it and the real feeling opens underneath — fear, hurt, tiredness.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

Feelings aren't weakness. They're not drama. They're data. Every emotion is trying to tell you something — about what you value, what you need, what your limits are. This week we learn to actually read them instead of either ignoring them or getting wrecked by them.",Raise your hand if you've ever reacted to something emotionally and genuinely had no idea WHY you reacted that way. That gap — between the emotion and the meaning — is what we're working on today.,"Feelings aren't weakness. They're not drama. They're data. Every emotion is trying to tell you something — about what you value, what you need, what your limits are. This week we learn to actually read them instead of either ignoring them or getting wrecked by them.",https://www.youtube.com/watch?v=tGdsOXZpyWE,YouTube: Marc Brackett on emotional intelligence — search 'Marc Brackett emotion scientist' or his talk on the RULER framework. Alternatively: search 'permission to feel Marc Brackett' for interviews. Runtime ~15–20 min.,,,,What were you actually feeling right before you got angry?,EMOTION ARCHAEOLOGY: Think of a recent strong emotional reaction — particularly one that felt disproportionate or confusing. Dig down: What emotion did I express or act from? (Level 1). What emotion was I actually feeling underneath that? (Level 2). And underneath that? (Level 3 — often the most true). Example: Snapped at a friend → anger (L1) → felt ignored (L2) → fear that I don't matter (L3). Share your Level 1 emotion. You don't have to share Levels 2 or 3 if you don't want to.,Write about an emotion you don't let yourself feel very often. What do you think you're protecting yourself from by keeping it away?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","When you notice a strong feeling today, try to name it with more precision than 'good' or 'bad.' What is it actually?",Tell one person about a feeling you usually hide or dismiss. Not the story — just the feeling and what you think it's actually pointing at.,Bring back one time you practised emotion archaeology this week. What did you find underneath?,,,My emotions are information. They point at what matters. I'm learning to read them.,The emotion archaeology exercise is powerful but can surface unexpected material. Have a 'parking lot' option — teens can write things down to process later rather than in the group. The concept of emotional layers is a foundational tool they will use throughout the year.,,,,
9,1,See Clearly,See Clearly,Teen,The Wounds We Carry,The Update Nobody Installed on Purpose,"Things that hurt, and what happens when you never say them out loud",What happened to you that you've never really talked about?,Old hurt,1 of 3,"21, 23",Standard,,,"There's an idea held in many cultures: that the greatest strength doesn't come from having no wounds. It comes from knowing your wounds — their shape, their history, what they've made of you — and continuing anyway. The mark of wisdom is not invulnerability. It is honest, courageous self-knowledge.",There's an idea held in many cultures: that the greatest strength doesn't come from having no wounds.,,,"Old hurts are a heavy backpack you've worn so long you forgot it's on — naming them in a safe room is setting it down for a minute. Today: name one thing you've been carrying, just to feel the weight lift.",Old hurts are a heavy backpack you've worn so long you forgot it's on — naming them in a safe room is setting it down for a minute.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

All of us have been hurt — by experiences, relationships, or things that happened that we didn't fully understand. And some of those hurts are still shaping how we act today, even if we've never talked about them. This week we acknowledge what we carry — not to relive it, but to start understanding it.","Honest question — you don't have to answer out loud: is there something that happened in your past — something that hurt — that you think is still affecting how you act today? How you treat people, or how you let people treat you?","All of us have been hurt — by experiences, relationships, or things that happened that we didn't fully understand. And some of those hurts are still shaping how we act today, even if we've never talked about them. This week we acknowledge what we carry — not to relive it, but to start understanding it.",https://www.youtube.com/watch?v=95ovIJ3dsNk,TED Talk: 'How Childhood Trauma Affects Health Across a Lifetime' by Nadine Burke Harris — fully accessible for teens and deeply relevant. Runtime ~16 min.,,,,What happened to you that you've never really talked about?,"PRIVATE REFLECTION — NOT FOR SHARING: In your journal (private — nobody reads this): write about one thing that hurt you — past or recently — that you think is still with you. How does it show up today? What does it make you do or avoid? If someone who really cared about you knew about this wound, what would they want you to know? Fold your journal closed when done. After writing: take a slow breath. Look around the room. You're here. You're okay.",Write privately: what is one coping strategy I use that I think came from being hurt? Is it still helping me — or costing me more than it gives?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Notice once today when something small triggers a big feeling — and ask yourself: 'Does this feel older than now?',If there's one person in your life you trust — just one — consider telling them one small true thing about what you carry. Notice what happens.,Bring back: did anything shift this week after the journalling exercise? You don't have to share what — just whether the awareness felt different.,,,What happened to me does not define me. I see it. I carry it honestly. And I decide what happens next.,"CRITICAL: Ensure journalling is explicitly PRIVATE and cannot be read by facilitators or peers without consent. Have a wellbeing resource card available (counsellor contacts, helpline numbers) for anyone who needs support. Follow mandatory reporting requirements if any disclosures indicate current safety risks.",,,YES,
10,1,See Clearly,See Clearly,Teen,The Masks We Wear,Which One Is Actually You?,"The version of you online and at school, and the one nobody sees",Is there something about you that you've never let anyone see?,Masks and being seen,1 of 3,"22, 42",Standard,,,"There's an old concept from theatre: the mask was always meant to serve the story — and when the play is over, it comes off. The problem we're exploring today is what happens when the play never ends, and you start to forget you're even wearing a mask.","There's an old concept from theatre: the mask was always meant to serve the story — and when the play is over, it comes off.",,,"Your profile is the filtered photo; the real you is the whole camera roll — and the right people want the camera roll. Today: show one true, unfiltered thing to someone safe.",Your profile is the filtered photo; the real you is the whole camera roll — and the right people want the camera roll.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Pretty much everyone your age is performing — performing toughness, coolness, confidence, happiness, not-caring. Some of it is genuinely useful social navigation. But when you can't remember who you are underneath the performance, that's when it starts costing you. Today we look at the masks.","Quick and honest: rate yourself 1–10 on how authentic you are in these contexts — with parents, with close friends, at school, on social media, when alone. What does the range tell you?","Pretty much everyone your age is performing — performing toughness, coolness, confidence, happiness, not-caring. Some of it is genuinely useful social navigation. But when you can't remember who you are underneath the performance, that's when it starts costing you. Today we look at the masks.",https://www.youtube.com/watch?v=IVlU-2OBdts,"YouTube: 'To This Day' — Shane Koyczan spoken word animation about identity, performance, and the cost of hiding. Intensely moving, highly relevant to teens. Runtime ~8 min.",,,,Is there something about you that you've never let anyone see?,"AUTHENTICITY MAP: Draw yourself in the middle of a page. Around you draw the different contexts of your life (friend groups, home, school, online). For each context: draw how much of 'you' actually shows up there — you could use percentages. Now: where do you feel most like yourself? Why? Where do you feel most masked? What are you protecting there — and from what? Share: one context where you feel most real, and one where you feel most masked.",Write a letter from your authentic self to your most performative self. What does the real you want the performed version to know?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Notice once today when you shift into performance mode. Ask yourself: is this genuinely necessary — or just habit?,Show one person — even a little — something real about you that you usually manage or hide. Watch what happens.,Bring back: what happened when you tried showing something real? What did it feel like?,,,I know who I am underneath the performance. And that person is worth knowing.,Let teens make the authenticity map as creative as they want. Honour the developmental complexity — trying on identities is appropriate at this stage. Avoid implying that being 'themselves' is simple or that they should know exactly who that is yet.,,,,
