﻿Week,Phase,Block Theme,Weekly Theme,Audience,Session Title,Core Concept,Opening Hook,Signal Metaphor,Ancient Wisdom Reframe,Teaching Points,Experiential Exercise,Guided Reflection,Journaling Prompt,Weekly Practice (Mon),Weekly Practice (Wed),Weekly Practice (Sun),Core Affirmation,Video Link (YouTube),Video Description,Film Script (2min Narration),Facilitator Notes
1,1,See Clearly,The Signal and the Noise,Child,Finding Your Station,Sometimes our thoughts and feelings get really noisy — like a radio with too much static. Today we practise noticing when we feel like ourselves versus when we feel a bit lost or scrambled.,"Can anyone tell me about a time they felt really, really good — like everything just felt right? What were you doing?","Imagine your brain is a radio. When you tune it just right, you hear the music clearly. When it's on the wrong station, it's just crackle and noise. Today we practise finding your station.","Have you ever seen a lighthouse? Even in a really big storm with waves crashing and wind howling, the lighthouse light just keeps going — steady and calm. You have something like that light inside you too.","1. Everyone has big feelings and busy thoughts — that's normal and okay. | 2. Some feelings are like signals — they tell us something true about what we need or want. | 3. Some feelings are like static — messy and confusing, usually when we're tired or scared or trying too hard to fit in. | 4. Today we just start noticing the difference — and that's a superpower.",THE FEELINGS DIAL: Draw a big circle like a radio dial. On one side write 'SIGNAL' and draw a smiley face. On the other write 'NOISE' and draw a wiggly face. Think of a feeling you had this week. Was it signal or noise? Draw or write it on the right side of the dial. Share with the group if you want to.,"Let's all sit quietly for one minute. Close your eyes if you want to. Think of a moment this week where you felt happy, safe, or really yourself. Put your hand on your heart. That feeling? That's your signal. Remember what it feels like.",Draw a picture of what it looks like inside your head when you feel calm and good.,Notice when you feel 'signal' today — tell someone about it!,Tell a grown-up about one time this week you felt really like yourself.,Come back ready to share one 'signal moment' from your week.,"My feelings are talking to me, and I'm learning to listen.",https://www.youtube.com/watch?v=nj2ofrX7jAk,"YouTube: Daniel Siegel 'The Whole Brain Child' animated explanation — how emotions work in the brain, made accessible for children. Runtime ~5 min. Companion book: 'What To Do When You Worry Too Much' by Dawn Huebner.","FADE IN: A child's bedroom — toys everywhere, thoughts swirling like cartoon clouds above their head. VOICE (warm, gentle): 'Sometimes it feels really noisy in here, doesn't it?' CUT TO: The child takes a slow breath. The clouds slow down. One cloud glows — it's a happy memory. VOICE: 'That glowing one? That's your signal. You've always had it.' FADE TO TITLE: Mindcast LIVE — Tune Into Your Inner Self.",Use visuals and movement where possible. Keep reflection time SHORT — 30 seconds max for young children. Story time recommended: ask children to bring a book about feelings for next week.
2,1,See Clearly,The Stories We Carry,Child,What's in Your Backpack?,"We all have little voices in our head that say things about us — sometimes kind things, sometimes not-so-kind things. Today we meet those voices and find out where they came from.",Has anyone ever had a thought like 'I'm not good at that' or 'that's not for me' — and wondered where it came from?,"Imagine you have a tiny invisible backpack you carry everywhere. Inside it are all the things people have ever said to you, or things that happened that made you feel a certain way about yourself. Today we look inside the backpack.","There's a story about a baby elephant tied to a small post. As a baby it tried to pull free, couldn't, and eventually stopped trying. Years later, fully grown, the elephant stays next to the tiny post without even pulling. The rope hasn't changed. The elephant has. We carry stories the same way.","1. Everyone has an inner voice — the thoughts we have about ourselves. | 2. Some of those thoughts come from things that happened to us — things people said, or times we felt embarrassed or not good enough. | 3. Those thoughts aren't always true. They're just old stories we started carrying. | 4. Just because a thought is old and loud doesn't mean it's right.","BACKPACK ACTIVITY: Each child gets a paper 'backpack' outline to draw on. Inside the backpack, draw or write 2 things you believe about yourself — one good thing, one thing that sometimes makes you feel bad. Around the outside of the backpack, write where you learned it (e.g. 'school,' 'a friend said,' 'something that happened'). Share the good thing with the group. The harder thing is private unless they choose to share.","Close your eyes and imagine your backpack. Now imagine taking out the heavy thing — the not-so-kind thought — and looking at it. Who put it there? When? Now imagine a kind, wise grown-up taking it from you and saying: 'You don't have to carry this. It was never yours to carry.'",Draw a picture of yourself WITHOUT the heavy thing in your backpack. What do you look like?,Notice one kind thought about yourself today. Write it down or tell someone.,"Tell a grown-up one thing in your 'backpack' — something you believe about yourself, good or tricky.",Bring your backpack drawing back and be ready to share one thing from it.,I get to choose which stories I carry.,https://www.youtube.com/watch?v=pTp0O-b0LFI,YouTube: 'The Most Magnificent Thing' read-aloud — story about a girl who tries and fails and learns to persist. Runtime ~8 min. Companion book: 'What Do You Do With a Problem?' by Kobi Yamada.,"FADE IN: A cartoon child carrying a big backpack, walking slowly. VOICE (gentle): 'Inside that backpack are stories. Some of them are beautiful. Some of them are really heavy.' CUT TO: Child sets the backpack down and looks inside. VOICE: 'Not everything that's heavy belongs to you.' CUT TO: Child stands up taller, backpack lighter, walking forward. FADE TO TITLE: Mindcast LIVE.",Use physical props if possible — a real small backpack to put cards in works wonderfully. Ensure children know they don't have to share private thoughts. Have a quiet corner available.
3,1,See Clearly,The Pattern Interrupt,Child,The Pause Button,Sometimes we do things we didn't really mean to — like snap at someone or say something unkind — almost before we even knew we were doing it. Today we learn a superpower: the pause.,"Has anyone ever said or done something, and then straight away wished they hadn't? Tell me about what that feels like in your body — tummy? chest? face?",You know the remote control for the TV? It has a pause button. YOUR brain has one too — it just takes practice to find it. Today we find it.,"In old stories, the wisest characters — the ones who could solve the hardest problems — were always the ones who could be still. Not frozen. Still. There's a difference. Stillness is a superpower.","1. When something upsets us, our brain sends a really fast 'danger' signal — almost like a fire alarm going off. | 2. When that happens, we might yell, hide, cry, or freeze — before we even think about it. | 3. That's not bad or wrong — it's just our brain doing its job. | 4. But here's the cool thing: we can learn to press PAUSE — take one breath, count to three, notice the feeling — and then decide what to do next. That pause is a superpower. Really.","THE PAUSE BUTTON ACTIVITY: Everyone gets a card with a big PAUSE symbol on it. Practise the pause together: Clap hands once (the trigger). Everyone presses their 'pause button' card against their heart and counts 1-2-3 slowly while breathing. Role play: Facilitator pretends to say something frustrating. Children press pause, count, breathe, then decide how to respond. Practise 3 times. Make it fun and slightly silly.","Close your eyes and imagine you have a real pause button — glowing, right in the middle of your chest. Think of something that happened this week that made you feel big, fast feelings. Now imagine pressing the pause button. What happens in your body when you do?",Draw your pause button. What colour is it? What does it look like? Where on your body would it be?,"When you feel a big, fast feeling today, try pressing your imaginary pause button before you react.",Teach someone at home about the pause button. Show them how it works.,Bring your pause button drawing and a story about one time you tried to use it!,"When I feel a big feeling, I can pause. I am in charge of what happens next.",https://www.youtube.com/watch?v=BVAaomgzFCM,"YouTube: 'Sesame Street — Common and Colbie Caillat: Belly Breathe' — fun, accessible breathing and pause technique for young children. Runtime ~3 min. Companion book: 'When Sophie Gets Angry — Really, Really Angry' by Molly Bang.","FADE IN: A cartoon child is about to stomp off after something annoying happens. VOICE: 'Can you see the moment? Right there — just before the storm?' CUT TO: The child's hand moves to their chest. Press. Pause. 1-2-3. VOICE: 'That's the pause button. Everyone has one.' CUT TO: The child makes a different choice. Smiles a little. VOICE: 'And the more you use it, the stronger it gets.' FADE TO TITLE: Mindcast LIVE.",The pause button card is a tangible anchor children can take home. Coordinate with parents to reinforce the language at home. Make the role-play fun so children associate it with positive feelings.
4,1,See Clearly,What Your Body Is Telling You,Child,Your Feelings Weather Station,"Our bodies are amazing messengers! They tell us when we're scared, excited, tired, or happy — all with feelings inside our body. Today we learn to listen to those feelings.",Can you show me what your body looks like when you're really happy? Now scared. Now proud. Did you notice your BODY changes when your feelings change? Feelings live in the body!,Your body is like a feelings weather station — it has instruments to help you know what's happening inside. A tummy that flips might mean butterflies of excitement or worry. A tight chest might mean you need a hug. Today we learn to read the weather report.,"There's an old idea that our body, heart, and mind are all connected — like a three-part team. When they're all working together, we feel strong and good. When one part is ignored, we get wobbly. Today we check in with the whole team.","1. Feelings start in the body — before you even have a word for them. | 2. A tummy that feels wobbly might mean excited OR nervous — and you can learn to tell the difference! | 3. Listening to your body helps you know what you need: rest, fun, a hug, a drink of water, or just to say what's on your mind. | 4. Your body is your friend and it's always trying to help you.","FEELINGS WEATHER STATION: Each child gets a body outline. Facilitator calls out feelings: happy, scared, excited, tired, proud, embarrassed, angry, loved. Children colour or mark where they feel each one in their body. Share: 'Where do YOU feel happy? Where do you feel nervous?' Discuss: we all feel things in slightly different places — and that's amazing!",Let's do a feelings check-in together. Breathe slowly three times. Then: 'What is your body telling you right now?' Put your hands on your belly. What does it feel like? Wobbly? Still? Warm? Tight? That's information. Your body is talking. We're learning to listen.,Draw what your body looks like on the inside when you feel your favourite feeling.,"Three times today, ask yourself: 'What is my body telling me right now?' Tell a friend what you find!",Ask a grown-up: 'Where do YOU feel nervous in your body?' Compare answers!,Bring back your feelings body map and share one new thing you discovered about your feelings.,My body helps me understand my feelings. We are a great team.,https://www.youtube.com/watch?v=nj2ofrX7jAk,YouTube: 'Emotions and the Brain for Kids' — fun animated explanation of how emotions work in the body. Runtime ~5 min. Companion book: 'The Colour Monster' by Anna Llenas — beautiful exploration of identifying feelings through colour.,"FADE IN: Animated body outline. Different feelings light up different parts — glowing yellow for happy, blue for sad, red for angry. VOICE (warm, playful): 'Did you know feelings don't just live in your head? They live ALL over!' CUT TO: Child touching tummy — the butterflies glow there. VOICE: 'Your body is the most amazing feelings machine. And it's always trying to help you.' FADE TO TITLE: Mindcast LIVE.","Body map activity is highly engaging — use lots of colour. Keep the focus entirely on internal feelings, never on appearance. The 'feelings weather station' language can be used throughout the whole year as a check-in tool."
5,1,See Clearly,The Mirror — How We See Ourselves,Child,The True Mirror,"Have you ever looked in a funny mirror that made you look tall or wiggly or squished? Today we think about the mirror we use to look at ourselves — and make sure it's a good, true one.","If I drew a picture of you, what would I need to include to make it REALLY you? Not just what you look like — what makes you YOU?",Some mirrors in your head show you looking great. Some show you looking terrible. And sometimes neither is completely true! Today we find the mirror that shows the REAL you — with all the good stuff AND the stuff that's still growing.,There's an old story about a lion cub raised by sheep. It grew up thinking it was a sheep — timid and small. Until one day it saw its reflection in a river and heard a real lion roar. The cub had always been a lion. It just didn't have the right mirror. You might be missing some things about yourself too.,"1. Everyone is amazing at some things and still learning at others — and BOTH are true at the same time. | 2. Sometimes when we look at ourselves we only see the hard stuff — the mistakes, the things we can't do yet. | 3. Sometimes we only want to see the good stuff and we don't want to hear when something needs to get better. | 4. The best mirror is honest AND kind — it shows our real strengths AND the places we're still growing.",THE TRUE MIRROR ACTIVITY: Each child draws a large mirror outline. On the LEFT side: draw or write 3 things you're genuinely good at or proud of. On the RIGHT side: draw or write 1 thing you're still learning or working on — this is brave! Decorate the frame with things that matter to you. Share your mirror with the group — at least one thing from each side.,"Look at your mirror drawing. Now close your eyes and imagine a really wise, kind grown-up looking at you and saying: 'I see all of this, and I think you are wonderful AND still growing. Both of those are true. Both of those are good.' How does that feel?",Draw or write about something you're proud of about yourself that you don't talk about very much.,Tell yourself one true kind thing today. Then tell someone else one true kind thing about THEM.,Ask a grown-up: 'What do you think I'm really good at?' Write it on the frame of your mirror.,Bring your mirror drawing back and add something new you discovered about yourself this week!,I can see myself clearly — the strong parts AND the growing parts. Both of them are me.,https://www.youtube.com/watch?v=0ZcfX2862XE,YouTube: 'The Dot' read-aloud by Peter H. Reynolds — a child discovers their own creativity and ability through brave action. Runtime ~8 min. Companion book: 'I Am Enough' by Grace Byers — affirming picture book about being exactly who you are.,"FADE IN: A child holds up a drawing of themselves — small, uncertain. VOICE: 'This is how they see themselves today.' CUT TO: The drawing slowly fills in more details — colours, strengths, a smile. VOICE: 'But there's so much more that's already there.' CUT TO: Child looking at the finished drawing, surprised and pleased. VOICE: 'The mirror only shows the real you when you're brave enough to look properly.' FADE TO TITLE: Mindcast LIVE.",The mirror craft is a session highlight — prepare materials in advance. Emphasise that BOTH strengths AND growing areas belong in the mirror — this normalises ongoing growth. Display mirrors on the room walls with permission — creates a powerful visual of collective self-awareness.
6,1,See Clearly,The Comparison Loop,Child,Your Own Puzzle,"Sometimes we look at other people and wish we were more like them — that we had what they had or could do what they can do. Today we learn why comparing isn't as useful as it feels, and what to do instead.",Has anyone ever wished they could do something that someone else can do? What does it feel like in your tummy when you compare yourself to someone else?,"Imagine everyone has a different-shaped puzzle. Your puzzle is yours — and only your pieces fit it. When you try to compare your puzzle to someone else's, the pieces don't fit and it gets confusing. Today we focus on finding YOUR puzzle pieces.","There's an old idea about flowers: a daisy doesn't look at a rose and wish it were a rose. A daisy is a perfect daisy. When it tries to be a rose, it forgets to be what it is. You are already your own kind of flower. And that's brilliant.","1. Everyone is good at different things — and that's what makes people interesting! | 2. When we compare ourselves to others, we usually only look at the thing they're good at and forget all the amazing things we can do. | 3. Comparing can make us feel bad without actually helping us get better at anything. | 4. What DOES help is looking at how much WE have grown — comparing ourselves to who we were yesterday, not who someone else is today.","YOUR AMAZING PUZZLE: Each child gets a puzzle outline with 4–6 large pieces. In each piece, draw or write one thing you're good at, one thing you love, one thing that makes you you. Look at your completed puzzle: no two are the same! That's the point. Share: 'One piece of my puzzle that's completely unique to me is...'","Close your eyes. Think of one thing you can do now that you couldn't do a year ago. It doesn't have to be big. Maybe you can read harder books, ride a bike, make a new friend, or be kinder when you're having a bad day. That's YOUR growth. Nobody else's. It belongs completely to you.",Draw or write about something you've gotten better at this year. How did it make you feel to notice that?,"Each time you catch yourself wishing you were more like someone else, ask: 'I wonder what I'm good at that they might not be?'",Tell a grown-up one thing you've gotten better at this year that you're really proud of.,"Bring your puzzle back and add one new piece — something new you noticed about what makes you, you!",I am my own kind of amazing. My puzzle is exactly right for me.,https://www.youtube.com/watch?v=kMyk8xSMnzY,YouTube: 'You Are Special' by Max Lucado read-aloud — a beautiful story about where worth really comes from. Runtime ~8–10 min.,"FADE IN: A field of different flowers — each one different, all beautiful. VOICE: 'What if a daisy tried to be a rose? It would forget to be a daisy.' CUT TO: A daisy, fully open, glowing in morning light. VOICE: 'You are already the most complete version of you. Growing into MORE of yourself — not into someone else.' FADE TO TITLE: Mindcast LIVE.",The puzzle activity is very popular with this age group — make the puzzle pieces large enough for drawing. Celebrate the uniqueness of every puzzle loudly and genuinely. Avoid any competitive element in sharing.
7,1,See Clearly,The Inner Critic,Child,Meeting the Gremlin,"Sometimes we have a mean little voice in our head that says unkind things about us — like 'you can't do that' or 'you're not good enough.' Today we find out that this voice isn't telling the truth — and we learn to find the kinder, truer voice.",Has anyone ever had a thought like 'I can't do this' right before trying something hard? Where do you think that thought comes from?,"Imagine there's a grumpy little gremlin who lives in your head and loves to say negative things. He's loud and sometimes scary — but actually he's tiny and not very bright. Today we meet the gremlin, figure out why he's there, and decide he doesn't get to be the boss.",In old stories the wisest characters always had to face a trickster — a creature who tried to confuse them and make them doubt themselves. The trick was always the same: the trickster has no real power once you name him. 'I see you.' That's all it takes.,"1. Everyone has a 'worry voice' or 'mean voice' sometimes — it's normal and doesn't make you a bad person. | 2. That voice usually shows up when we're trying something new or scary — because it's trying in a clumsy way to protect us from being hurt. | 3. But the voice isn't very smart — it can't tell the difference between 'genuinely dangerous' and 'just new.' | 4. We can notice the voice, say hello, and then listen to our KINDER inner voice instead — the one that sounds like a true friend.","MEET THE GREMLIN: Everyone draws their 'inner critic gremlin' — what does yours look like? Name it (e.g. Doubty, Grumpy Gus, The Worrier). Now write or draw one thing your gremlin says a lot. Now draw or write what your 'inner friend voice' says instead — the kindest, most honest thing. Share your gremlin's name with the group — the sillier the better!","Close your eyes. Imagine your gremlin — small, grumpy, standing on your shoulder. Hear what it says. Then look at it and say inside your head: 'I see you, [gremlin name]. You don't have to run things today.' Now imagine your kind inner friend voice — warm, sure, on your side. What does it say?",Draw a comic strip: Panel 1 — the gremlin speaks. Panel 2 — you notice it. Panel 3 — you choose the kind voice instead.,"Every time you hear your gremlin today, give it a name and then listen for the kinder voice.",Tell a grown-up about your gremlin and give it a name. Ask them if they have one too!,Bring your gremlin drawing and your 'kind voice' back to share with the group!,I have a grumpy gremlin AND a kind friend inside me. I choose to listen to the friend.,https://www.youtube.com/watch?v=0ZcfX2862XE,YouTube: 'Beautiful Oops' read-aloud — story about characters with inner critics learning to change perspective. Runtime ~8 min. Companion book: 'Wemberly Worried' by Kevin Henkes — a mouse who worries about everything and learns she is more than her worries.,"FADE IN: Cartoon child with a tiny grumpy gremlin on their shoulder, whispering negative things. VOICE: 'Everyone has a gremlin. Some are louder than others.' CUT TO: The child looks at the gremlin. Smiles. 'I see you, Doubty.' Gremlin shrinks a little. Looks surprised. VOICE: 'You can't un-have the gremlin. But you can choose who gets the microphone.' FADE TO TITLE: Mindcast LIVE.","Children LOVE naming their gremlin — the sillier the name the better, as it immediately reduces the power of the voice. Display gremlin drawings on the wall throughout Phase 1. Remind children the gremlin is not bad or wrong to have — it's just not the boss."
8,1,See Clearly,Beneath the Surface — Emotions as Data,Child,The Feelings Iceberg,"Feelings are like messages your heart sends you. Sometimes the messages are easy to understand — 'I'm happy!' or 'I'm sad.' But sometimes feelings are tricky and hidden, like treasure buried under sand. Today we learn to dig and find what's really there.",Has anyone ever been in a bad mood and not quite known WHY? Or been really angry but not sure what you were actually upset about? That's the feelings iceberg! Today we dig under the surface.,"Imagine feelings are like an iceberg. The part you can see above the water is the easy bit — 'I'm angry!' But under the water there's a lot MORE going on — maybe you're actually scared, or hurt, or lonely. Today we look under the water.",There's an old story about a mother bird who always knew what her babies needed — even before they knew themselves. She didn't fix it — she listened to the sounds they made. Different sounds meant different things. You are your own mother bird. Your feelings are always making sounds. Today we learn the language.,"1. Big feelings like anger or grumpiness sometimes have smaller, sadder feelings hiding underneath them. | 2. It's okay — and brave — to look underneath and find out what's really there. | 3. When you find the real feeling, it usually gets a little easier to carry. | 4. You don't always have to fix the feeling — sometimes just knowing what it is makes it feel better.","THE FEELINGS ICEBERG: Everyone gets an iceberg drawing — a triangle shape with half above the 'water line' and half below. Above the water: draw or write the feeling everyone can see when you're upset (e.g. angry, grumpy, quiet). Below the water: draw or write what might really be there underneath (e.g. scared, lonely, tired, embarrassed). Facilitator shares an example first. Share: 'Above my waterline, people might see...'",Close your eyes. Think of the last time you felt a big feeling that was confusing. Now imagine it like an iceberg. The top part — what everyone could see. The bottom part — what was really going on inside. You don't have to tell anyone the bottom part. Just being brave enough to look is enough.,Draw your feelings iceberg for today. What's above the water? What might be underneath?,"When you feel a big feeling today, whisper to yourself: 'I wonder what's really going on underneath?'",Show a grown-up your iceberg drawing and explain it to them. Ask them to draw their iceberg too!,Bring a new iceberg drawing showing a feeling you had this week. What did you find underneath?,"When I look underneath my feelings, I find the real message. And I am brave enough to look.",https://www.youtube.com/watch?v=d3N7Kgb3JtE,"YouTube: 'Inside Out emotions explained for kids' — short clips from Pixar's Inside Out explaining how different emotions work together. Runtime ~3–5 min for clips. Companion book: 'The Feelings Book' by Todd Parr — bright, simple, inclusive celebration of the full range of feelings.","FADE IN: Animated iceberg. The tip visible above gentle waves — labelled 'ANGRY.' VOICE: 'That's what everyone sees...' CUT TO: Underwater. Huge chunk of iceberg visible — labelled 'SCARED, LONELY, TIRED, CONFUSED.' VOICE: '...but this is what's actually there.' CUT TO: A child looking at their own iceberg drawing, nodding slowly. VOICE: 'When you know what's really there, you can actually do something with it.' FADE TO TITLE: Mindcast LIVE.",The iceberg is brilliantly visual for this age. Make it physical — large printed icebergs with a clear water line. The 'Inside Out' reference will resonate strongly with this generation. Reassure children that the below-water part is for them — they don't have to share.
9,1,See Clearly,The Wounds We Carry,Child,The Stone in Your Pocket,"Sometimes things happen that make us feel sad, scared, or hurt — and even when those things are over, we might still feel them inside. Today we talk about those feelings in a gentle, safe way, and remember that carrying something hard doesn't mean we're stuck with it forever.","Has anyone ever had a bad day, or a bad thing happen, and it kept making you feel yucky even after it was over? That's completely normal. Today we talk about that.",Imagine you found a heavy stone and put it in your pocket. You might forget it's there after a while — but it's still making everything a little harder. Sometimes our feelings are like that. Today we look at the stones we might be carrying and decide which ones we can put down.,In old stories the bravest characters were never the ones with no fears or no hurts. They were the ones who knew about their fears — and went anyway. Bravery is not the absence of hurt. Bravery is carrying what's real and continuing forward.,"1. Hard things happen to everyone — that's part of being human. | 2. When something hard happens, sometimes the feeling doesn't go away straight away. It might stay in your tummy or make you feel quiet or sad for a while. | 3. That's okay. Those feelings are telling you the hard thing mattered — and that you mattered. | 4. We don't have to carry all the hard things alone. That's what trusted grown-ups, friends, and places like this are for.","THE STONE ACTIVITY: Everyone gets a smooth stone (or draws a stone on paper). On one side: draw or write something hard that happened — something you're still carrying a little bit. Facilitator shares their own gentle example first. On the other side: draw or write one person, place, or thing that helps you feel better when things are hard. Share the 'helper' side with the group. 'This stone represents your hard thing AND your helper. You carry both.'","Hold your stone or put your hand on your drawing. Close your eyes. Think about something that was hard. Now imagine all the people who care about you — family, friends, teachers — standing around you. You're not carrying this alone. That's important to know.",Draw or write about a grown-up or friend you would go to if you were carrying something heavy. What makes them safe to talk to?,"If your stone feels heavy today, talk to a grown-up you trust about what's making it heavy.",Show a grown-up your stone drawing and explain what the two sides mean.,Bring your stone (or stone drawing) back. Has anything gotten easier to carry since last week?,Hard things happen. But I don't carry them alone — and they don't get to be the whole story.,https://www.youtube.com/watch?v=7H2pBdLnmGs,YouTube: 'The Invisible String' read-aloud — a beautiful story about connection that remains even through difficult times. Runtime ~8 min. Companion book: 'A Little Spot of Sadness' by Diane Alber — child-friendly approach to grief and loss.,"FADE IN: A child walking with a heavy backpack. With each step, it looks heavier. VOICE: 'Sometimes we carry hard things for a long time without telling anyone.' CUT TO: The child stops. Looks at the backpack. VOICE: 'You don't have to carry it alone.' CUT TO: Another person joins them — walking beside them. The backpack looks the same, but the child's face is different. Lighter. VOICE: 'Telling someone about the heavy thing doesn't make it disappear. But it does mean you have company.' FADE TO TITLE: Mindcast LIVE.",CRITICAL: Most emotionally sensitive children's session. Do NOT ask children to share what is in their 'stone' unless they choose to. Have a quiet space available. Coordinate with parents/caregivers before this session and provide a resource sheet for families. Have the children's programme lead available if any disclosures are made.
10,1,See Clearly,The Masks We Wear,Child,The Real Face and the Pretend Faces,Sometimes we act differently around different people — maybe you're super silly with your best friend but quieter at school. Sometimes that's fine! But sometimes we hide the real us because we're worried people won't like us. Today we talk about feeling safe enough to be yourself.,Let's play a game! Can you show me your 'at school' face? Your 'at home' face? Your 'playing with best friends' face? Your 'feeling shy' face? Now — can you show me your REAL face? What makes that one different?,"Imagine you have a special face — your real face — and then you also have some pretend faces you wear when you're not sure if it's safe to be yourself. Today we talk about the real face, and when it's safe to show it.",In old stories the greatest friendships and the greatest adventures always started with someone being brave enough to be real — to say 'this is who I actually am.' The friends who matter always want to know the real you. Today we practise being real.,1. Everyone acts a little differently in different places — that's totally normal. | 2. Sometimes we wear a pretend face because we're not sure if people will like our real face. | 3. But wearing pretend faces all the time gets tiring — and it means people can't really know you. | 4. Being yourself takes bravery. But the right people — the ones who really matter — will like your real face best.,"MASK MAKING ACTIVITY: Each child gets a paper mask template to colour and decorate as a 'pretend face' they sometimes wear (e.g. 'the brave face,' 'the happy face when I'm not happy,' 'the cool face'). On the BACK of the mask, they write or draw their real feelings or qualities. Share: 'My pretend face looks like... but on the back, I'm really...'",Hold your mask up. Now lower it slowly. Imagine the people who love you most — your favourite people in the world — are looking at your real face. Does it feel okay? Scary? Warm? The right people think your real face is the best face.,"Draw two faces: your pretend face for one situation, and your real face underneath. What's the same? What's different?",Notice once today when you're wearing a pretend face. You don't have to change it — just notice it's there.,Show a grown-up your mask craft. Tell them about one pretend face you wear and one time you felt safe to be your real self.,Bring your mask back! Has anything been different this week about showing your real face?,My real face is the best face. The right people will always want to see it.,https://www.youtube.com/watch?v=YRaVl-VjF2g,"YouTube: 'The Name Jar' read-aloud — story about a child who hides their real name and finds the courage to claim it. Runtime ~8 min. Companion book: 'Stand Tall, Molly Lou Melon' by Patty Lovell — a small girl who is completely herself despite pressure to change.","FADE IN: A child holding up a beautiful painted mask. Bright colours. Perfect. VOICE: 'It's a beautiful mask. Everyone thinks so.' CUT TO: The same child lowering the mask. Their real face — more interesting, more alive, a bit uncertain. VOICE: 'But look at THIS face.' CUT TO: Best friend, seeing the real face. Grinning. VOICE: 'The right people always prefer the real one.' FADE TO TITLE: Mindcast LIVE.","The mask craft is one of the most enjoyable physical activities of Phase 1 — have good craft supplies available. The two-sided mask (performance on front, real self on back) is a powerful metaphor children can take home. Coordinate with families — the mask can prompt great conversations at home."
